artwork,abstract,accuracy,animacy,balance,colorsat,colortemp,complexity,depth,emotion,realism,stroke,symbolism,pc1-concreteness,pc2-energy,pc3-colorrad,saliency_standardized
33Renoir-BalduMoulindelaGalett,4.533333333,2.133333333,4.6,2.666666667,3,3.266666667,4.333333333,4.266666667,3.333333333,4.533333333,2.933333333,1.933333333,-1.14384973,1.410855387,0.751655044,-0.006740428
34Renoir-LeDejeunerdesCanotiers,4.2,1.866666667,4.4,2.666666667,2.8,2.6,3.466666667,3.933333333,3.666666667,4.466666667,2.933333333,1.866666667,-1.16525484,1.024588808,0.386271953,1.020324031
35Chagal-IAndTheVillage,1.866666667,4.533333333,3.333333333,2.333333333,4,2.4,4.066666667,2.733333333,3.333333333,1.666666667,2.4,3.933333333,1.109927939,1.013082697,-0.720911768,0.175024076
36VanEyck-Rinaldo,3.666666667,2.266666667,3.8,2.666666667,4.066666667,2.533333333,4.133333333,4.333333333,3.8,2.8,2.133333333,3.933333333,-0.629069275,1.894978374,-0.739268883,2.276963071
37Rosseau-CarnivalEvening,3.6,2.533333333,2.866666667,2.266666667,2.666666667,3.8,3,3,2.866666667,3.333333333,2.066666667,3.133333333,-0.197544446,0.358637023,0.752269854,-1.121792327
38Eyck-Virgin,4.133333333,1.933333333,3.866666667,2.466666667,3.333333333,2.533333333,3.266666667,4,3.533333333,3.533333333,1.866666667,3.533333333,-1.013870472,1.323009626,-0.428107766,1.028845156
39Tansey-TriumphOverMastery,4.133333333,2.466666667,4.266666667,3.666666667,3.4,1.8,2.066666667,3.266666667,2.733333333,3.866666667,2.666666667,2.333333333,-0.797331306,0.015196903,-0.639493036,-1.06878618
40van-gogh-bedroom,3.533333333,3.6,1.4,2.933333333,3.333333333,3.266666667,2.8,3.466666667,2.333333333,4,2.4,2.666666667,0.011869046,-0.641217217,0.012544926,2.010550313
41Millet-HarvestersResting,4.266666667,2.133333333,4.133333333,2.6,3.066666667,2.2,3.2,3.666666667,3.133333333,4.266666667,1.866666667,2.266666667,-1.223323351,0.716957554,-0.499906729,0.160994078
42toulouse-lautrec-bed,4.533333333,2.066666667,2.333333333,2.666666667,2.333333333,2.8,2,2.933333333,3.066666667,4.533333333,3.066666667,2.066666667,-0.723742818,-0.66311564,0.517079967,2.367313951
43Vermeer-Astronomer,4.466666667,1.466666667,3.2,2,2.866666667,2.2,2.733333333,3.4,2.4,4.266666667,1.6,2.733333333,-1.276949082,-0.007472221,-0.695942789,-0.356846321
44Klimt-JudithI,3.4,2.733333333,2.8,2.6,3.533333333,2,3.2,2.266666667,3.466666667,3.133333333,2,3.266666667,-0.099327233,0.277715992,-1.116884031,0.700813007
45Klimt-Melo,2.466666667,3.4,2.133333333,2.4,3.8,3,4.2,1.933333333,2.733333333,3.066666667,3.333333333,2.533333333,0.903534471,-0.282686209,-0.198510818,1.436208719
46monet_poplars_epte,3.8,2.8,2.066666667,3.4,2.666666667,4,2.466666667,2.933333333,2.266666667,4.2,3,1.666666667,-0.137082956,-0.879409597,1.143199827,0.697184197
47Uccello-StGiorgioAndTheDragon,3.466666667,3.333333333,4.6,2.4,3.2,3.8,3.4,3.533333333,3.4,1.2,1.866666667,4.266666667,0.188359441,1.927750071,0.702040288,-0.583459139
48monet-soleil,3,3.533333333,3.066666667,3.266666667,2.266666667,3.933333333,2.4,2.666666667,2.533333333,3.6,4.133333333,2.6,0.707535697,-0.425505141,1.940281815,-0.3788588
49Schiele-Rainerbub,3.333333333,3.266666667,2,2.4,2.466666667,2.6,1.8,1.666666667,2.466666667,3.533333333,2.333333333,1.733333333,0.171489822,-1.436791563,-0.030003341,0.086221525
50Holbein-NikolausKratzer,4.866666667,1.4,2.8,2.133333333,2.733333333,3,2.266666667,2.933333333,2,4.8,1.6,2.066666667,-1.326008792,-0.669603435,-0.149569455,1.592447059
51Dali-TheEnigmaOfDesire,2,4.066666667,1.8,3.133333333,4.2,2.066666667,3.866666667,4.066666667,2.933333333,1.266666667,1.866666667,4.066666667,0.698095204,0.670543031,-1.40098452,0.465179844
52brueghel-tower of babel,3.666666667,2.533333333,2.466666667,2.266666667,3.6,3.533333333,4.066666667,4.066666667,2.666666667,2.866666667,2.2,3.333333333,-0.264285018,0.78590546,0.038803075,-0.033215336
53cezanne-still-life-basket,3.933333333,2.466666667,1.533333333,2.933333333,3.4,2.933333333,3.466666667,3,1.8,4.4,2.4,1.733333333,-0.432976074,-1.011116867,-0.435935915,0.368085513
54Claude_Monet,2.866666667,3.266666667,1.6,3.266666667,3.6,1.8,2.333333333,2.733333333,2.333333333,3.466666667,3.6,2.333333333,0.428531974,-1.303955655,-0.77616908,0.842703481
55duchamp-nude descending a staircase,1.533333333,4.8,2.866666667,2.866666667,3.8,1.866666667,3.866666667,2.933333333,3.466666667,1.333333333,2.6,4,1.294507537,0.814654761,-0.916631241,-0.973373373
56johns - false start,1.2,4.533333333,2.8,2.4,4.666666667,1.533333333,3.733333333,1.866666667,2.933333333,1.2,4,3.266666667,1.857366939,-0.128462528,-1.282605584,1.04767528
57kandinsky- composition8,1.266666667,4.466666667,3.2,2.466666667,3.466666667,3.2,4.266666667,1.466666667,2.866666667,1.133333333,2,3.6,1.622382808,0.591858833,-0.136734594,0.06308766
58Klee-fish magic,1.6,4.466666667,2.466666667,2.333333333,4,3.666666667,3.133333333,1.4,2.266666667,1.2,3.466666667,3.6,2.0299534,-0.405863296,0.33542506,-0.618246579
59lempicka_portrait-in-the-green-bugatti-1925,3.8,2.733333333,3.8,3.266666667,3.4,3.8,3,2.6,2.333333333,3.8,1.466666667,2.333333333,-0.466659006,0.219924396,0.193508938,-1.401235186
60marc-the fate of the animals,1.133333333,4.2,3.4,2.866666667,4.666666667,1.866666667,4.2,3,3.6,1.133333333,2.6,3.466666667,1.140344955,1.117616536,-1.374513887,-0.16727237
61Monet-The-Water-Lily-Pond,3.466666667,2.866666667,2,3.066666667,3.733333333,2.4,3.4,3.533333333,2.666666667,4.066666667,3.133333333,2.2,-0.203721653,-0.375612617,-0.549654046,0.551797696
